service_id,date,exception_type
FLASH-C_Weekday_1_2104-VMTM_1111111,20210607,1
Local_Weekday_1_2104-VMTM_1111100,20210607,1
School_Weekday_1_2104-VMTM_1101100,20210607,1
School_Weekday_1_2104-VMTM_1111000,20210607,1
Express_Weekday_1_2104-VMW_1111100,20210607,1
Local_Weekday_1_2104-VMW_1111000,20210607,1
Local_Weekday_1_2104-VMW_1111100,20210607,1
GUS1_Weekday_1_2101-GL_1111100,20210608,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210608,1
Local_Weekday_1_2104-PHNS_1111100,20210608,1
RAPID_Weekday_1_2104-PHNS_1111100,20210608,1
Local_Weekday_1_2104-PHW_1111100,20210608,1
SC_Weekday_1_2104-SC_1111100,20210608,1
SKYT_7-days_1_SKYT_1111111,20210608,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210608,1
VMRU_Weekday_1_2104-VMRU_1111100,20210608,1
Express_Weekday_1_2104-VMTM_1111100,20210608,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210608,1
Local_Weekday_1_2104-VMTM_1111100,20210608,1
School_Weekday_1_2104-VMTM_1101100,20210608,1
School_Weekday_1_2104-VMTM_1111000,20210608,1
Express_Weekday_1_2104-VMW_1111100,20210608,1
Local_Weekday_1_2104-VMW_1111000,20210608,1
Local_Weekday_1_2104-VMW_1111100,20210608,1
GUS1_Weekday_1_2101-GL_1111100,20210609,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210609,1
Local_Weekday_1_2104-PHNS_1111100,20210609,1
RAPID_Weekday_1_2104-PHNS_1111100,20210609,1
Local_Weekday_1_2104-PHW_1111100,20210609,1
SC_Weekday_1_2104-SC_1111100,20210609,1
SKYT_7-days_1_SKYT_1111111,20210609,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210609,1
VMRU_Weekday_1_2104-VMRU_1111100,20210609,1
Express_Weekday_1_2104-VMTM_1111100,20210609,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210609,1
Local_Weekday_1_2104-VMTM_1111100,20210609,1
School_Weekday_1_2104-VMTM_0010000,20210609,1
School_Weekday_1_2104-VMTM_1111000,20210609,1
Express_Weekday_1_2104-VMW_1111100,20210609,1
Local_Weekday_1_2104-VMW_1111000,20210609,1
Local_Weekday_1_2104-VMW_1111100,20210609,1
GUS1_Weekday_1_2101-GL_1111100,20210610,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210610,1
Local_Weekday_1_2104-PHNS_1111100,20210610,1
RAPID_Weekday_1_2104-PHNS_1111100,20210610,1
Local_Weekday_1_2104-PHW_1111100,20210610,1
SC_Weekday_1_2104-SC_1111100,20210610,1
SKYT_7-days_1_SKYT_1111111,20210610,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210610,1
VMRU_Weekday_1_2104-VMRU_1111100,20210610,1
Express_Weekday_1_2104-VMTM_1111100,20210610,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210610,1
Local_Weekday_1_2104-VMTM_1111100,20210610,1
School_Weekday_1_2104-VMTM_1101100,20210610,1
School_Weekday_1_2104-VMTM_1111000,20210610,1
Express_Weekday_1_2104-VMW_1111100,20210610,1
Local_Weekday_1_2104-VMW_1111000,20210610,1
Local_Weekday_1_2104-VMW_1111100,20210610,1
GUS1_Weekday_1_2101-GL_1111100,20210611,1
GUS2GUS3_Weekday_1_2101-GL_1111100,20210611,1
Local_Weekday_1_2104-PHNS_1111100,20210611,1
RAPID_Weekday_1_2104-PHNS_1111100,20210611,1
Local_Weekday_1_2104-PHW_1111100,20210611,1
SC_Weekday_1_2104-SC_1111100,20210611,1
SKYT_7-days_1_SKYT_1111111,20210611,1
VMLR_Mon-Sat_1_2101-VMLR_1111110,20210611,1
VMRU_Weekday_1_2104-VMRU_1111100,20210611,1
Express_Weekday_1_2104-VMTM_1111100,20210611,1
FLASH-C_Weekday_1_2104-VMTM_1111111,20210611,1
Local_Weekday_1_2104-VMTM_1111100,20210611,1
School_Weekday_1_2104-VMTM_0000100,20210611,1
School_Weekday_1_2104-VMTM_1101100,20210611,1
Express_Weekday_1_2104-VMW_1111100,20210611,1
Local_Weekday_1_2104-VMW_0000100,20210611,1
Local_Weekday_1_2104-VMW_1111100,20210611,1
GUS1_Saturday_1_2101-GL_0000010,20210612,1
